标题,链接,up主,up主id,精确播放数,历史累计弹幕数,点赞数,投硬币枚数,收藏人数,转发人数,发布时间,视频时长(秒),视频简介,作者简介,标签,视频aid
海南警方六一又整活了：孩子，咱别刷了！,https://www.bilibili.com/video/BV1dL411q7xE,新华网,488055582,283614,259,28568,3479,2165,1914,2023/6/1 18:05,78,孩子沉溺直播刷礼物，一不小心“倾家荡产”；放不下手机的孩子，如何拿得起想要的未来？先别急着打骂孩子！网络世界纷繁复杂，心智尚不成熟的未成年人，更容易在诱惑面前丧失心智。分享海南警方这条短片??成长路上，家长的陪伴和引导很重要！（新闻来源：海南警方）,未找到作者简介,"政媒扶持计划,魔性,直播打赏,成长,刷礼物,家长陪伴,海南警方,资讯,社会",444299583
不知从什么时候开始，手机长在了手上,https://www.bilibili.com/video/BV1zs4y1i7a3,中国警察网,517433879,376304,442,49066,4392,4550,1315,2023/6/1 18:35,78,不知从什么时候开始，手机长在了手上,未找到作者简介,"手机,数码,儿童,少年,护苗,警惕,反诈,生活,日常",996804122
《时空中的绘旅人》×中国航天文创 联动PV「星·旅」| 致敬所有中国航天人_哔哩哔哩bilibili,https://www.bilibili.com/video/BV1az4y1q7ck,时空中的绘旅人,441833336,168972,270,19747,3469,3072,2015,2023/6/2 12:00,78,"简介：【星·旅 | 时空中的绘旅人×中国航天文创】

宇宙诞生之初；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"《时空中的绘旅人》×中国航天文创 联动PV「星·旅」| 致敬所有中国航天人,航天,手机游戏,时空中的绘旅人,路辰,叶瑄,司岚,恋爱冒险,罗夏,艾因,恋爱剧情,游戏,手机游戏",571872708
沈 阳 儿 童 节,https://www.bilibili.com/video/BV1jP411D7UD,墨阿鸣,276270790,634156,1679,45551,9148,9781,10281,2023/5/31 17:57,80,沈阳儿童节丨特别企划《徒弟在哪里》,未找到作者简介,"春天在哪里,人力VOCALOID,鬼畜调教,鬼畜,搞笑,东百往事,虎哥,六一儿童节,刀哥,杀马特团长,鬼畜,人力VOCALOID",314361636
【星穹铁道】打架不如打麻将,https://www.bilibili.com/video/BV1Lc411G7Kx,小强凌凌柒,7514413,1605696,6594,276111,36322,67390,27322,2023/5/27 10:00,80,简介：打牌，别打人！；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"崩坏：星穹铁道创作者激励计划,崩坏：星穹铁道,麻将,搞笑,手机游戏,星穹铁道,可可利亚,板鸭,模拟宇宙,青雀,游戏,手机游戏",271583834
不要眨眼！一分钟偷走你的硬币！！,https://www.bilibili.com/video/BV1Bo4y1M7cV,一颗咕咕星,38606568,141493,67,16273,5590,1520,74,2023/5/31 17:30,80,感觉这个短片拍的挺好的，可惜上一个播放量有点拉（捂脸），略难过……单独的短片再发一遍，看过的可以忽略哦~如果能点个赞投个币，就更感谢啦~,未找到作者简介,"技能提升营,摄影,花切,高能,特效,魔术,创意,扑克牌,咕咕星,知识,野生技能协会",401769808
曹 以 食 为 天,https://www.bilibili.com/video/BV1Uh4y1o7aT,帅气上班族吉良,389993407,1220633,1101,79514,5063,26164,4212,2023/5/27 16:00,81,我踏马吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃,未找到作者简介,"鬼畜星探企划,新三国,曹操,鬼畜剧场,鬼畜,我踏马吃吃,曹操盖饭,鬼畜,鬼畜剧场",656545370
【六一快乐】甜心格格大全员cos正片,https://www.bilibili.com/video/BV1Ak4y1s7MS,你的九玮梳sama,15266116,237263,600,40862,9074,7986,2211,2023/6/1 13:39,81,“我要甜甜的味道，我要香香的泡泡”“不要咸咸的眼泪，我要星星都闪耀”2011----2023——12年相伴，那群孩子们都长大啦——最后，感谢所有参团成员两年来的辛勤付出六一儿童节快乐！！！！STAFF见置顶评论,未找到作者简介,"快乐女孩,童年的样子,童年回忆杀,甜心格格,童年,cos,Cosplay,童年回忆杀企划,时尚,仿妆cos",741831879
【塔科夫枪声音乐】In the Shadow Of The Sun(Remix),https://www.bilibili.com/video/BV1Th4y1o7AV,一只路过的奈盏,1370514923,223087,484,40319,17969,19845,581,2023/5/28 11:45,81,游戏：逃离塔科夫音乐：In the shadow of the sun(Avdenture Club Remix)后半部分觉得没有前半部分好听，就没有做（懒） 视频播放量 223087、弹幕量 484、点赞数 40319、投硬币枚数 17969、收藏人数 19845、转发人数 581,未找到作者简介,"Shadow Of The Sun,枪声音乐,逃离塔科夫,shadow of the sun,游戏,网络游戏",656411220
猪游记,https://www.bilibili.com/video/BV1124y1A7q5,允星河Yoseya,1605721,877406,375,54533,2054,7773,663,2023/5/28 18:37,82,纯属虚构。,未找到作者简介,"动画短片群星计划,小猪佩奇,搞笑配音,同人配音,原创动画,允星河,阿允同学,动画短片群星计划 第八期,动画,短片·手书·配音",784188629
当英语老师的北京口音很重,https://www.bilibili.com/video/BV1Bc411G7eT,抵抗Resistance,475912512,601639,1409,32191,3091,2352,8800,2023/5/30 21:43,82,加快速度！能不能6月速度再快一点,未找到作者简介,"搞笑研究所,英语,搞笑,北京,北京人,英语老师,北京话,搞笑研究所2023 3.0,生活,搞笑",271655294
抽车！听说你没车？我送给你！！！,https://www.bilibili.com/video/BV1J8411f7Qi,飞飞的车COOL,50693252,986867,2878,46242,25080,6482,2288,2023/5/30 18:05,82,给大家抽车啦！！说到做到！！快点开视频看看吧！！,未找到作者简介,"2023新车抢先看,SUV,汽车,日常,2023上海国际车展,新能源,宝骏,五菱,Vlog,汽车,汽车生活",229189376
《原神》角色动画—「派对浪客~诸葛白术」,https://www.bilibili.com/video/BV1wz4y1q7ib,心灵侦探明柏辰,75547577,242510,375,14031,3151,4711,2374,2023/6/1 17:00,82,描改自《派对浪客诸葛孔明》企划+剪辑：心灵侦探明柏辰   战场ヶ原-原画师@皮皮杂   @葉月千惠  爆肝70天，画了600多张！为了给大家展示一下这个脑洞动画！希望各位好心旅行者给个三连吧！！如果大家喜欢我们将持续更新这个系列！来波关注不错过更新哦！,未找到作者简介,"チキチキバンバン,原神UP主激励计划,原神,动画,心灵侦探明柏辰,派对浪客诸葛孔明,战场ヶ原-,米哈游,白术,绮良良,动画,短片·手书·配音",571780969
超 人 强 我 要 交 卷,https://www.bilibili.com/video/BV1tM4y1i7vu,九夜听风,593987248,677671,1325,62632,9414,15602,3392,2023/5/29 12:06,83,祝中考和高考的小伙伴们都取得满意的成绩！加油~,未找到作者简介,"鬼畜星探企划,公益,鬼畜剧场,高考,鬼畜,搞笑,沙雕,离谱,超人强,鬼畜,鬼畜剧场",911648058
史诗级合作《雪Distance》！！,https://www.bilibili.com/video/BV1xN411C79H,怠惰的一休,27501480,235781,693,22865,4984,8023,1614,2023/5/31 17:30,83,嗨！想我了吗~对于最近的拖更我只能说：玩星铁玩的.jpgbgm：雪Distance,未找到作者简介,"鬼畜调教,鬼畜,搞笑,全明星,雪Distance,泰裤辣,猪猪侠,鸡你太美,鬼畜,人力VOCALOID",486839706
“回忆之所以美丽，是因为谁都回不去。”_电子竞技热门视频,https://www.bilibili.com/video/BV1Mz4y1q74w,白茶-峡谷摄影师,436152539,403369,2118,35335,2219,2209,929,2023/5/31 19:41,83,简介：给个三连吧！！！万分感谢！！！；已有35335名英雄联盟玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"“回忆之所以美丽，是因为谁都回不去。”,So Far Away,英雄联盟,电子竞技,烬,戏命师,全场最佳,游戏,电子竞技",571833533
这是正常人类能完成的操作？？_我的世界,https://www.bilibili.com/video/BV1KP411X7b3,FoFTG,26032219,935378,1949,84199,7875,20361,557,2023/5/28 9:25,84,"简介：上期视频很多人想学劝架技巧，我直接安排！
这期是划时代终极无；已有84199名我的世界玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"这是正常人类能完成的操作？？,不问别离,万物皆可游戏,我的世界,单机游戏,单机,MC,游戏视频,娱乐,Minecraft,操作挑战,正常,游戏,单机游戏",314160296
太厉害了！真的可以复活吗？,https://www.bilibili.com/video/BV1ym4y147E1,玩物-涨智,1173182522,531331,93,30301,142,2084,20,2023/5/31 8:52,84,更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"万物皆可游戏,搞笑,电子竞技,娱乐,复活,沙雕,游戏,电子竞技",699322695
都长大了是吧，那我气泡音英伦腔的灰太狼就不装了！,https://www.bilibili.com/video/BV1rk4y1W7pR,高级灵魂张斯瑞,1889049289,920296,332,96382,4679,16661,5560,2023/6/1 11:05,85,Fear me if you dare!,未找到作者简介,"奇妙动画剧场,配音,英语,声控,喜羊羊与灰太狼,六一快乐,整活,动画,综合",741763970
《做球半年多，切球一分钟》,https://www.bilibili.com/video/BV1Sc411g72U,熊熊卷球球,85115702,137339,115,13546,2922,854,37,2023/6/1 18:53,85,这颗球我从去年12月开始做，因为做的是透明的，所以需要边做边消泡。我是先做一个小透明球，再往上叠加颜色，等他透了再继续叠加。球球消泡需要很长时间，球越大就越难消。大蓝球是我目前为止做过最大的一颗透明球，有我半个手掌大了，确实花费了很多心血，做这种透球的难度较高，它不像实色球不需要考虑消泡问题。好在成品真的非常透！切开也很好看！我还是挺满意的^_^,未找到作者简介,"夏日整活大赏,手工,DIY,胶带,胶带球,解压,减压,放松,透明胶带球,搞笑研究所2023 4.0,生活,手工",271859738
刘华强搜 别太嚣张了，曹操可不惯着你。?#孙红雷??#曹操撤回了一碗饭??#曹操盖饭,https://www.bilibili.com/video/BV1sm4y1b7mq,内向的华强,1334726920,463794,224,43186,2927,4552,1585,2023/5/29 22:01,85,-,未找到作者简介,"曹操盖饭的100种整活方式,必剪创作,脑洞,鬼畜星探企划,鬼畜,鬼畜剧场",699126347
东北饭店老板娘到南方下馆，看看到底有啥不一样,https://www.bilibili.com/video/BV1Fs4y1q727,大嘴儿美食挠儿哥,432044872,926191,1673,45453,1339,863,738,2023/5/31 13:24,85,东北饭店老板娘到南方下馆子，看看到底有啥不一样,未找到作者简介,"芬芳五月·美食探寻季,探店,美食,东北大厨,东北菜,南方,老板娘,四季美食·芬芳五月·美食探寻季,美食,美食制作",996874264
掌声响起来！！_电子竞技热门视频,https://www.bilibili.com/video/BV1mu411p7VM,左左丞相,295010654,630952,4481,32330,1130,1716,314,2023/5/31 18:21,86,更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"掌声响起来！！,万物皆可游戏,电子竞技,娱乐,高能,巴掌流,top,干将,轻教学,游戏,电子竞技",529351081
那一天，人类回想起了被猫猫支配的恐惧,https://www.bilibili.com/video/BV1Th411F7uB,拉环儿_,20247643,499169,690,76778,5882,13969,2569,2023/6/2 18:05,86,海的那边，是目的地..,未找到作者简介,"Let's Go (Radio Edit),原神UP主激励计划,原神,猫,刻晴,巨人,璃月,旅行者,稻妻,荧,绮良良,动画,短片·手书·配音",229372880
这 才 是 真 星 穹 铁 道 ！,https://www.bilibili.com/video/BV1NL411q7Hi,猹泡饭233,629825579,690415,800,82313,6243,10685,15831,2023/5/29 19:15,86,简介：嗨~ 你们催了好久的真星铁来辣~！；已有82313名玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"崩坏：星穹铁道创作者激励计划,搞笑,手机游戏,动画,猹泡饭,崩坏星穹铁道,真星铁,沙雕,二创,景元,通往群星的轨道,游戏,手机游戏",444136946
儿 童 杰,https://www.bilibili.com/video/BV1zL411q7Lm,鸡鸡·夫斯基,548824,478542,492,37287,5252,6776,6407,2023/5/29 18:40,87,关注我，祝你也过上儿童杰！混音：凉郁,未找到作者简介,"勇气大爆发,鬼畜,童年回忆杀,杰哥不要,彬彬,阿伟,杰哥,儿童节,鬼畜,人力VOCALOID",444214695
柱间跺脚看似玩闹 打起架来不开玩笑,https://www.bilibili.com/video/BV14c411V7At,空条豆太郎,2113715,281969,245,17101,256,1350,366,2023/6/1 16:03,87,- 视频播放量 281969、弹幕量 245、点赞数 17101、投硬币枚数 256、收藏人数 1350、转发人数 366,未找到作者简介,"万物皆可游戏,火影忍者手游,手机游戏,少年柱间,游戏,手机游戏",271817810
绮良良拥有目前游戏最顶的超模机制！_网络游戏热门视频,https://www.bilibili.com/video/BV1vk4y1W74a,椰羊蛋挞,1280491258,457127,373,25365,169,1266,2105,2023/5/29 11:30,87,简介：绮良良太可爱了；更多原神实用攻略教学，爆笑沙雕集锦，你所不知道的原神游戏知识，热门原神游戏视频7*24小时持续更新,未找到作者简介,"绮良良拥有目前游戏最顶的超模机制！,Midnight City,原神UP主激励计划,原神,必剪创作,整活,绮良良,游戏,网络游戏",741709192
偶遇穷游大神，2年以车为家，花费少到无法想象！已把国内走1遍！,https://www.bilibili.com/video/BV1Rh4y1x7wG,庄树房车游,437699505,1472417,328,39459,854,11812,485,2023/5/27 19:37,87,偶遇穷游大神，2年以车为家，花费少到无法想象！已把国内走1遍！,未找到作者简介,"这才是真正的玩车自由,自驾游,旅游,汽车,房车旅行,房车生活,“你是懂养车的”养车PK赛,汽车,房车",614014663
看个视频差点被锤死！,https://www.bilibili.com/video/BV1Mm4y14716,我不是青丝,31425423,864777,797,63596,10545,11465,7997,2023/5/30 11:21,88,灵感来源：BV1j24y1C7FB这回没有粗鄙了，高抬贵手放过我吧！,未找到作者简介,"鬼畜星探企划,王雷,鬼畜,搞笑,孙少安,我锤死你,西北锤王,平凡的世界,吕一,鬼畜,鬼畜调教",699177812
魏武帝炒饭,https://www.bilibili.com/video/BV1wW4y1R7dr,罪恶岛市,23273746,1143957,2090,88112,11450,22463,9231,2023/6/1 18:13,88,魏武帝炒饭,未找到作者简介,"曹操盖饭的100种整活方式,新三国,鬼畜剧场,杰哥,曹操盖饭,鬼畜星探企划,鬼畜,鬼畜剧场",954280991
你发如雪，凄美了离别。,https://www.bilibili.com/video/BV14z4y1B7wd,九三的耳朵不是特别好,313580179,640933,420,38811,11887,7191,1831,2023/5/27 12:07,88,手机录的  希望大家喜欢,未找到作者简介,"发如雪,新世代音乐人计划女生季,周杰伦,吉他弹唱,吉他,翻唱,演奏,弹唱,女声,音乐,翻唱",571563265
送别！南京大屠杀幸存者阮秀英、杨静秋去世，登记在册在世幸存者仅剩40人,https://www.bilibili.com/video/BV1HM4y1e7Py,共青团中央,20165629,301866,1360,80995,11679,4040,1113,2023/6/2 22:02,89,来源：侵华日军南京大屠杀遇难同胞纪念馆、央视新闻南京大屠杀幸存者阮秀英、杨静秋于5月31日、6月1日相继过世。两位老人及家人生前都曾遭受到侵华日军的毒打，在回忆到当初惨痛的经历时，阮秀英老人说，“那时候人不能算人，现在和平年代多安定啊。”曾发生的悲剧，历史记得，14亿中国人民记得，两位老人一路走好！,未找到作者简介,"送别,知识,人文历史",911797460
没有人能笑着看完这个视频,https://www.bilibili.com/video/BV1is4y1i7yw,临时工小陈,9094311,1514774,1740,81709,3176,8030,2389,2023/6/1 11:23,90,没有人能笑着看完这个视频,未找到作者简介,"B站小剧场,单身,爱情,临时工小陈,我在B站拍短剧·夏日剧场,影视,小剧场",996829919
河马妈妈教小河马学游泳！,https://www.bilibili.com/video/BV1Fc411V7Fz,猫后生,1870883193,2935157,346,104122,3292,20138,4138,2023/5/30 12:03,90,小河马学游泳,未找到作者简介,"动物观察局,搞笑配音,游泳,同人配音,河马,动物观察局21.0 小动物集合啦,动物圈,动物二创",271726309
如果一直不谈恋爱，真的会遇到很好的人吗,https://www.bilibili.com/video/BV168411f7yf,陈可乐啦,509702065,672098,851,37773,6391,10155,2145,2023/5/31 17:24,91,-,未找到作者简介,"记录我的校园时光,恋爱,生活记录,生活,日常",229260784
